 Rainfall, Temperature, Ph,Crop, Production
400.15082,20,3,Bajra,0.0069
400.16331,20,3.2,Bajra,0.00747
400.16387,20,3.2,Bajra,0.00749
400.17967,20,3.2,Bajra,0.00822
400.19582,20,3.2,Bajra,0.00895
400.29047,20,3.2,Bajra,0.01328
400.38869,20,3.2,Bajra,0.01777
400.39889,20,3.2,Bajra,0.01824
400.41592,20,3.2,Bajra,0.01902
400.45608,20,3.2,Bajra,0.02085
400.46035,20,3.2,Bajra,0.02105
400.46718,20,3.2,Bajra,0.02136
400.52774,20,3.2,Bajra,0.02413
400.54199,20,3.2,Bajra,0.02478
400.56441,20,3.2,Bajra,0.02581
400.56864,20,3.2,Bajra,0.026
400.65723,20,3.2,Bajra,0.03005
400.69429,20,3.2,Bajra,0.03175
400.76984,20,3.2,Bajra,0.0352
400.78107,20,3.2,Bajra,0.03571
401.02743,20,3.2,Bajra,0.04698
401.31825,20,3.2,Bajra,0.06028
401.47754,20,3.2,Bajra,0.06756
401.50001,20,3.2,Bajra,0.06859
401.50387,20,3.2,Bajra,0.06876
401.57464,20,3.2,Bajra,0.072
401.57825,20,3.2,Bajra,0.07216
401.60024,20,3.2,Bajra,0.07317
401.63612,20,3.2,Bajra,0.07481
401.65422,20,3.2,Bajra,0.07564
401.65656,20,3.2,Bajra,0.07575
401.66306,20,3.2,Bajra,0.07604
401.67025,20,3.2,Bajra,0.07637
402.08286,20,3.2,Bajra,0.09524
402.23458,20,3.2,Bajra,0.10218
402.39983,20,3.2,Bajra,0.10973
402.42845,20,3.2,Bajra,0.11104
402.46423,20,3.2,Bajra,0.11268
402.54647,20,3.2,Bajra,0.11644
402.57579,20,3.2,Bajra,0.11778
402.58231,20,3.2,Bajra,0.11808
402.592,20,3.2,Bajra,0.11852
402.68864,20,3.2,Bajra,0.12294
402.7059,20,3.2,Bajra,0.12373
402.76603,20,3.2,Bajra,0.12648
402.80843,20,3.2,Bajra,0.12841
402.83704,20,3.2,Bajra,0.12972
402.93823,20,3.2,Bajra,0.13435
403.20294,20,3.2,Bajra,0.14645
403.22616,20,3.2,Bajra,0.14752
403.30242,20,3.2,Bajra,0.151
403.31671,20,3.2,Bajra,0.15166
403.31928,20,3.2,Bajra,0.15177
403.45605,20,3.2,Bajra,0.15803
403.4608,20,3.2,Bajra,0.15824
403.4992,20,3.2,Bajra,0.16
403.54886,20,3.2,Bajra,0.16227
403.55162,20,3.2,Bajra,0.1624
403.56515,20,3.2,Bajra,0.16302
403.62582,20,3.2,Bajra,0.16579
403.67726,20,3.2,Bajra,0.16814
403.79017,20,3.2,Bajra,0.1733
403.79675,20,3.2,Bajra,0.17361
403.85941,20,3.2,Bajra,0.17647
403.86577,20,3.2,Bajra,0.17676
403.8826,20,3.2,Bajra,0.17753
403.91087,20,3.2,Bajra,0.17882
403.91999,20,3.2,Bajra,0.17924
404.02528,20,3.2,Bajra,0.18406
404.02895,20,3.2,Bajra,0.18422
404.12949,20,3.2,Bajra,0.18882
404.13645,20,3.2,Bajra,0.18914
404.18607,20,3.2,Bajra,0.19141
404.23314,20,3.2,Bajra,0.19356
404.26732,20,3.2,Bajra,0.19512
404.30638,20,3.2,Bajra,0.19691
404.30714,20,3.2,Bajra,0.19694
404.34234,20,3.2,Bajra,0.19855
404.374,20,3.2,Bajra,0.2
404.374,20,3.2,Bajra,0.2
404.374,20,3.2,Bajra,0.2
404.374,20,3.2,Bajra,0.2
404.42092,20,3.2,Bajra,0.20215
404.49244,20,3.2,Bajra,0.20542
404.5003,20,3.2,Bajra,0.20578
404.60937,20,3.2,Bajra,0.21076
404.65236,20,3.2,Bajra,0.21273
404.71706,20,3.2,Bajra,0.21569
404.75005,20,3.2,Bajra,0.21719
403.92727,20,3.2,Bajra,0.21818
403.97382,20,3.2,Bajra,0.22077
404.01269,20,3.2,Bajra,0.22293
404.01634,20,3.2,Bajra,0.22313
404.01786,20,3.2,Bajra,0.22321
404.01939,20,3.2,Bajra,0.2233
404.0203,20,3.2,Bajra,0.22335
404.02215,20,3.2,Bajra,0.22345
404.02632,20,3.2,Bajra,0.22368
404.05,20,3.2,Bajra,0.225
404.05522,20,3.2,Bajra,0.22529
404.05634,20,3.2,Bajra,0.22535
404.15754,20,3.1,Bajra,0.23097
404.19051,20,3.1,Bajra,0.23281
404.24454,20,3.1,Bajra,0.23581
404.32333,20,3.1,Bajra,0.24018
404.32748,22,3.1,Bajra,0.24042
404.33175,22,3.1,Bajra,0.24065
404.35295,22,3.1,Bajra,0.24183
404.38023,22,3.1,Bajra,0.24335
404.45714,22,3.1,Bajra,0.24762
404.45915,22,3.1,Bajra,0.24773
404.47458,22,3.1,Bajra,0.24859
404.47977,22,3.1,Bajra,0.24888
404.5,22,3.1,Bajra,0.25
404.5,22,3.1,Bajra,0.25
404.53101,22,3.1,Bajra,0.25172
404.53913,22,3.1,Bajra,0.25217
404.57654,22,3.1,Bajra,0.25425
404.58182,22,3.1,Bajra,0.25455
404.59113,22,3.1,Bajra,0.25506
404.61871,22,3.1,Bajra,0.25659
404.62857,22,3.1,Bajra,0.25714
404.6583,22,3.1,Bajra,0.25879
404.66667,22,3.1,Bajra,0.25926
404.6815,22,3.1,Bajra,0.26008
404.71245,22,3.1,Bajra,0.2618
404.73344,22,3.1,Bajra,0.26297
404.73684,22,3.1,Bajra,0.26316
404.84824,22,3.1,Bajra,0.26935
404.8785,22,3.1,Bajra,0.27103
404.8956,22,3.1,Bajra,0.27198
404.90089,22,3.1,Bajra,0.27227
405.02538,22,3.1,Bajra,0.27919
405.03192,22,3.1,Bajra,0.27955
405.04,22,3.1,Bajra,0.28
405.0449,22,3.1,Bajra,0.28027
405.06375,22,3.1,Bajra,0.28132
405.07203,22,3.1,Bajra,0.28178
405.10907,22,3.1,Bajra,0.28384
405.12621,22,3.1,Bajra,0.28479
405.15098,22,3.1,Bajra,0.28617
405.18606,22,3.1,Bajra,0.28811
405.19975,22,3.1,Bajra,0.28888
405.22581,22,3.1,Bajra,0.29032
405.24024,22,3.1,Bajra,0.29112
405.25,22,3.1,Bajra,0.29167
405.29412,22,3.1,Bajra,0.29412
405.30551,22,3.1,Bajra,0.29475
405.3446,22,3.1,Bajra,0.29692
405.35135,22,3.1,Bajra,0.2973
405.35537,22,3.1,Bajra,0.29752
405.37668,22,3.1,Bajra,0.2987
405.38749,22,3.1,Bajra,0.2993
405.39542,22,3.1,Bajra,0.29975
405.4,22,3.1,Bajra,0.3
405.4,22,3.1,Bajra,0.3
405.43273,22,3.1,Bajra,0.30182
405.43374,22,3.1,Bajra,0.30187
405.44186,22,3.1,Bajra,0.30233
405.44186,22,3.1,Bajra,0.30233
405.45485,22,3.1,Bajra,0.30305
405.47826,22,3.1,Bajra,0.30435
405.47909,22,3.1,Bajra,0.30439
405.48259,22,3.1,Bajra,0.30459
405.4871,22,3.1,Bajra,0.30484
405.48936,22,3.1,Bajra,0.30496
405.53846,22,3.1,Bajra,0.30769
405.54385,22,3.1,Bajra,0.30799
405.55223,22,3.1,Bajra,0.30846
405.5545,22,3.1,Bajra,0.30858
405.55882,22,3.1,Bajra,0.30882
405.57143,22,3.1,Bajra,0.30952
405.62553,22,3.1,Bajra,0.31253
405.67123,22,3.1,Bajra,0.31507
405.67568,22,3.1,Bajra,0.31532
405.68639,22,3.1,Bajra,0.31591
405.69268,22,3.1,Bajra,0.31626
405.69597,22,3.1,Bajra,0.31644
405.69822,22,3.1,Bajra,0.31657
405.70166,22,3.1,Bajra,0.31676
405.70297,22,3.1,Bajra,0.31683
405.73332,22,3.1,Bajra,0.31852
405.7479,22,3.1,Bajra,0.31933
405.75216,22,3.1,Bajra,0.31956
405.76,22,3.1,Bajra,0.32
405.76,22,3.1,Bajra,0.32
405.78571,22,3.1,Bajra,0.32143
405.83448,22,3.1,Bajra,0.32414
405.84531,22,3.1,Bajra,0.32474
405.85542,22,3.1,Bajra,0.3253
405.86047,22,3.1,Bajra,0.32558
405.87368,22,3.1,Bajra,0.32632
405.88462,22,3.1,Bajra,0.32692
405.92806,22,3.1,Bajra,0.32934
405.93605,22,3.1,Bajra,0.32978
405.93752,22,3.1,Bajra,0.32986
405.9485,22,3.1,Bajra,0.33047
406,22,3.1,Bajra,0.33333
406,22,3.1,Bajra,0.33333
406,22,3.1,Bajra,0.33333
406,22,3.1,Bajra,0.33333
406,22,3.1,Bajra,0.33333
406,22,3.1,Bajra,0.33333
406,22,3.1,Bajra,0.33333
406,22,3.1,Bajra,0.33333
406,22,3.1,Bajra,0.33333
406,22,3.1,Bajra,0.33333
406,22,3.1,Bajra,0.33333
406,22,3.1,Bajra,0.33333
406,22,3.1,Bajra,0.33333
406,22,3.1,Bajra,0.33333
406,22,3.1,Bajra,0.33333
406,22,3.1,Bajra,0.33333
406,22,3.1,Bajra,0.33333
406,22,3.1,Bajra,0.33333
406,23,3.1,Bajra,0.33333
406.0056,23,3.1,Bajra,0.33364
406.05545,23,3.1,Bajra,0.33641
406.07343,23,3.1,Bajra,0.33741
